OrderID,OrderDate,Product,Revenue,Cost,Quantity,CustomerID,Region,OrderPriority,Discount,Category,Profit,Loss
44,2024-07-23,Mouse,0.8838149121034552,0.20786092214663643,0.5555555555555556,2378,North,Low,20,Electronics,3569,0
45,2024-04-12,Printer,0.8120832491412406,0.2831947593852356,0.8888888888888888,3243,South,High,3,Electronics,2915,0
46,2024-11-19,Chair,0.1646797332794504,0.14310909549004788,0.8888888888888888,3658,East,Medium,12,Furniture,267,0
47,2024-09-30,Smartphone,0.8832087290361689,0.31191735953640715,0.05555555555555555,4561,East,Critical,15,Electronics,3153,0
48,2024-12-02,Desk,0.18630026267932917,0.4933232552280171,0.0,2911,South,Medium,10,Furniture,0,1016
49,2024-06-30,Headphones,0.9571630632451,0.9420508944318469,0.16666666666666666,2356,South,Critical,2,Electronics,1018,0
50,2024-04-20,Keyboard,0.9294807031723581,0.6608717561098514,0.4444444444444444,3660,East,Medium,1,Electronics,1997,0
51,2024-01-31,Tablet,0.9834309961608406,0.5313681027966742,0.05555555555555555,2887,South,Medium,24,Electronics,2778,0
52,2024-03-24,Laptop,0.2554051323499697,0.9881582262534644,0.1111111111111111,2978,West,Medium,25,Electronics,0,2638
53,2024-10-06,Desk,0.7524752475247525,0.0927185689090451,0.2777777777777778,1631,East,High,2,Furniture,3376,0
54,2024-02-24,Smartphone,0.5631440695089918,0.35046611237087427,0.6666666666666666,1320,North,Low,19,Electronics,1416,0
55,2024-09-03,Keyboard,0.5500101030511214,0.9183673469387755,0.7777777777777778,2470,South,Critical,16,Electronics,0,903
56,2024-05-28,Desk,0.8533036977167104,0.02343159486016629,0.5555555555555556,2400,West,High,0,Furniture,4150,0
57,2024-05-31,Smartphone,0.5152556071933724,0.891912320483749,0.5,1202,North,Critical,25,Electronics,0,970
58,2024-01-15,Monitor,0.595877955142453,0.763668430335097,0.1111111111111111,4161,North,High,24,Electronics,0,62
59,2024-03-07,Monitor,0.33804809052333806,0.9886621315192744,0.4444444444444444,4778,North,Critical,10,Electronics,0,2231
60,2024-02-17,Printer,0.926853909880784,0.780297304106828,0.5,3224,South,Critical,15,Electronics,1510,0
61,2024-03-18,Desk,0.6247726813497676,0.3673469387755102,0.6111111111111112,1626,North,Medium,19,Furniture,1654,0
62,2023-12-19,Monitor,0.5734491816528592,0.8042328042328042,0.3888888888888889,2868,East,Critical,9,Electronics,0,334
63,2024-06-20,Smartphone,0.33663366336633666,0.528344671201814,0.8888888888888888,3079,East,Critical,19,Electronics,0,411
64,2024-02-03,Printer,0.9114972721761972,0.7382212144116906,0.2222222222222222,4951,South,Medium,5,Electronics,1601,0
65,2024-12-12,Smartphone,0.4435239442311578,0.19223985890652556,0.3888888888888889,3993,South,High,1,Electronics,1452,0
66,2024-10-06,Printer,0.2796524550414225,0.5248173343411439,0.9444444444444444,1726,North,High,21,Electronics,0,679
67,2024-06-15,Desk,0.8896746817538896,0.36104812295288485,0.5555555555555556,1953,South,Low,28,Furniture,2990,0
68,2024-05-13,Keyboard,0.7989492826833704,0.8465608465608465,0.5,3867,East,Low,6,Electronics,614,0
69,2024-01-16,Headphones,0.5857749040210144,0.8692365835222978,0.7777777777777778,3838,East,Low,16,Electronics,0,531
70,2024-02-25,Mouse,0.01212366134572641,0.5409423028470648,0.2777777777777778,3290,East,Low,7,Electronics,0,2067
71,2024-05-03,Keyboard,0.7975348555263689,0.855379188712522,1.0,2821,South,Critical,12,Electronics,572,0
72,2024-09-20,Chair,0.4627197413618913,0.08264046359284455,0.8888888888888888,1069,East,Critical,21,Furniture,1982,0
73,2024-01-12,Smartphone,0.09537280258638109,0.9370118417737465,0.5,4062,South,Low,24,Electronics,0,3227
74,2024-12-09,Chair,0.193574459486765,0.17762660619803478,0.2222222222222222,2094,West,Medium,28,Furniture,273,0
75,2024-05-07,Keyboard,0.1074964639321075,0.05542957923910305,0.8333333333333334,2646,North,Low,3,Electronics,332,0
76,2024-05-30,Printer,0.09961608405738533,0.45704207608969516,0.6111111111111112,1157,West,High,10,Electronics,0,1301
77,2024-05-03,Mouse,0.016366942816730654,0.46888384983623077,0.2222222222222222,1548,East,Critical,1,Electronics,0,1760
78,2024-04-06,Mouse,0.6001212366134573,0.6586041824137062,0.0,2839,North,Medium,24,Electronics,376,0
79,2024-04-09,Laptop,0.002222671246716508,0.25069286974048877,0.05555555555555555,2951,East,High,7,Electronics,0,964
80,2024-01-11,Mouse,0.9181652859163467,0.25724363819601914,0.2222222222222222,3373,East,Medium,17,Electronics,3543,0
81,2024-02-02,Headphones,0.15376843806829663,0.027462836986646512,1.0,2058,West,Medium,7,Electronics,672,0
82,2024-04-26,Mouse,0.6435643564356436,0.03728898966994205,0.7777777777777778,4551,East,Low,10,Electronics,3057,0
83,2024-03-10,Keyboard,0.005051525560719338,0.618039808515999,0.0,3507,North,High,23,Electronics,0,2408
84,2024-06-24,Laptop,0.3649222065063649,0.9695137314184933,0.5555555555555556,4907,East,Low,4,Electronics,0,2022
85,2024-07-27,Keyboard,0.8399676702364114,0.9435626102292769,0.9444444444444444,3463,North,High,6,Electronics,432,0
86,2024-10-10,Keyboard,0.8737118609820166,0.17586293776769968,0.1111111111111111,3618,West,Critical,22,Electronics,3646,0
87,2024-06-03,Tablet,0.9500909274600929,0.7719828672209624,0.4444444444444444,1885,South,High,3,Electronics,1658,0
88,2024-02-28,Laptop,0.7393412810668822,0.36104812295288485,0.16666666666666666,4490,East,Critical,21,Electronics,2246,0
89,2024-06-10,Keyboard,0.3081430592038796,0.8062484252960443,0.6666666666666666,1510,West,Critical,9,Electronics,0,1655
90,2024-06-23,Tablet,0.15356637704586784,0.8956916099773242,0.4444444444444444,1367,East,Low,5,Electronics,0,2775
91,2024-10-08,Tablet,0.12002424732269146,0.026958931720836483,0.1111111111111111,3959,North,Critical,12,Electronics,507,0
92,2024-11-26,Laptop,0.21317437866235603,0.09775762156714538,0.8333333333333334,2910,East,Low,15,Electronics,687,0
93,2024-11-20,Chair,0.3746211355829461,0.10682791635172588,0.3888888888888889,1882,South,Medium,21,Furniture,1450,0
94,2024-11-03,Printer,0.6229541321479086,0.6283698664651045,0.3333333333333333,3254,East,Medium,24,Electronics,609,0
95,2024-10-08,Headphones,0.791270963831077,0.7470395565633661,0.8888888888888888,4432,South,Medium,1,Electronics,971,0
96,2024-04-23,Printer,0.7425742574257426,0.2748803224993701,0.8333333333333334,4507,South,High,25,Electronics,2604,0
97,2024-03-01,Mouse,0.4138209739341281,0.7903754094230284,0.9444444444444444,3625,East,Critical,23,Electronics,0,1069
98,2024-07-01,Headphones,0.29460497070115177,0.6810279667422524,0.8333333333333334,2797,West,Low,14,Electronics,0,1225
99,2024-06-22,Mouse,0.24631238634067487,0.5036533131771227,0.7777777777777778,2293,East,Medium,7,Electronics,0,760
100,2024-07-07,Keyboard,0.8543140028288543,0.9160997732426304,0.05555555555555555,4304,South,Low,16,Electronics,612,0
101,2024-09-01,Smartphone,0.844817134774702,0.41899722852103805,0.16666666666666666,1668,West,Medium,26,Electronics,2538,0
102,2024-03-31,Laptop,0.30288947262073146,0.9007306626354246,0.2222222222222222,3153,South,Critical,28,Electronics,0,2056
103,2024-02-09,Headphones,0.36977167104465547,0.3847316704459562,0.3333333333333333,1665,South,Medium,13,Electronics,323,0
104,2024-07-05,Headphones,0.685997171145686,0.5104560342655581,0.7777777777777778,4089,East,Low,29,Electronics,1389,0
105,2024-11-28,Keyboard,0.24307940998181451,0.5966238347190728,0.8888888888888888,4566,North,Medium,17,Electronics,0,1145
106,2024-11-13,Chair,0.8628005657708628,0.6969009826152683,0.5,1259,East,Low,28,Furniture,1524,0
107,2024-01-29,Tablet,0.5677914730248536,0.4673721340388007,0.4444444444444444,2508,North,Medium,13,Electronics,975,0
108,2024-02-11,Keyboard,0.6247726813497676,0.6991685563114135,0.8333333333333334,1312,North,Low,3,Electronics,337,0
109,2024-10-23,Monitor,0.6150737522731865,0.6618795666414714,0.1111111111111111,3678,East,Medium,20,Electronics,437,0
110,2024-04-19,Tablet,0.9442311578096585,0.11237087427563618,0.4444444444444444,2844,North,Critical,20,Electronics,4247,0
111,2024-03-07,Laptop,0.71004243281471,0.40236835474930716,0.3888888888888889,4173,South,Medium,21,Electronics,1937,0
112,2024-05-28,Tablet,0.36330571832693476,0.052658100277147894,0.3333333333333333,3584,West,High,22,Electronics,1609,0
113,2024-10-23,Chair,0.5203071327540917,0.21365583270345176,0.8888888888888888,4251,East,Low,0,Furniture,1747,0
114,2024-11-22,Tablet,0.029096787229743383,0.4691358024691358,0.2222222222222222,2533,North,Medium,22,Electronics,0,1698
115,2024-05-09,Laptop,0.9814103859365528,0.6089695137314185,0.3333333333333333,2500,South,High,5,Electronics,2460,0
116,2024-08-29,Chair,0.7932915740553648,0.4948349710254472,0.6666666666666666,1673,West,Low,4,Furniture,1982,0
117,2024-11-19,Printer,0.2782380278844211,0.399848828420257,0.9444444444444444,2423,North,Medium,14,Electronics,0,190
118,2024-09-05,Headphones,0.6356839765609213,0.41597379692617786,0.7222222222222222,3020,North,Medium,29,Electronics,1515,0
119,2024-03-02,Headphones,0.36876136593251163,0.48274124464600654,0.9444444444444444,3397,South,Critical,15,Electronics,0,71
120,2024-03-02,Mouse,0.16023439078601737,0.889140841521794,0.1111111111111111,3262,West,Medium,21,Electronics,0,2716
121,2024-10-17,Printer,0.32349969690846636,0.48324514991181655,0.8888888888888888,2406,West,Low,26,Electronics,0,297
122,2024-06-18,Printer,0.8918973530006061,0.14512471655328799,1.0,2147,South,High,7,Electronics,3858,0
123,2024-09-22,Tablet,0.22428773489593856,0.41950113378684806,0.3333333333333333,4363,West,Medium,28,Electronics,0,535
124,2024-06-11,Headphones,0.8189533239038189,0.17334341143864954,0.16666666666666666,2691,East,High,27,Electronics,3385,0
125,2024-09-25,Laptop,0.9684784805011113,0.19879062736205594,0.7777777777777778,2728,West,Low,5,Electronics,4024,0
126,2024-05-08,Desk,0.7955142453020813,0.24968505920886874,0.3888888888888889,1327,North,Low,4,Furniture,2966,0
127,2024-05-27,Desk,0.8007678318852294,0.5568153187200806,0.8333333333333334,2588,West,Medium,5,Furniture,1773,0
128,2024-10-08,Chair,0.9985855728429985,0.24590576971529352,0.0,4753,East,Critical,24,Furniture,3986,0
129,2024-02-21,Headphones,0.15801171953930088,0.3413958175862938,0.8333333333333334,3894,East,Medium,27,Electronics,0,553
130,2024-09-27,Headphones,0.2255001010305112,0.42504409171075835,0.05555555555555555,1097,North,Critical,0,Electronics,0,551
131,2024-07-16,Desk,0.3536067892503536,0.08793146888384984,0.05555555555555555,1658,North,Medium,13,Furniture,1421,0
132,2024-06-08,Headphones,0.5205091937765205,0.4462081128747795,0.3888888888888889,3347,East,High,18,Electronics,825,0
133,2024-11-16,Tablet,0.8136997373206708,0.6845553036029226,0.6111111111111112,3077,South,Critical,18,Electronics,1330,0
134,2024-02-21,Monitor,0.6740755708223883,0.891660367850844,0.5555555555555556,2097,East,Critical,24,Electronics,0,183
135,2024-01-11,Smartphone,0.8864417053950293,0.10707986898463089,0.2777777777777778,3219,West,High,14,Electronics,3982,0
136,2024-06-13,Printer,0.30046474035158616,0.08213655832703452,1.0,2017,North,Medium,18,Electronics,1181,0
137,2024-10-02,Mouse,0.7829864619114972,0.28445452254976067,0.9444444444444444,4956,South,Low,5,Electronics,2766,0
138,2024-10-15,Chair,0.7336835724388765,0.9798437893675989,0.2222222222222222,1922,East,Low,24,Furniture,0,238
139,2024-11-14,Monitor,0.8470398060214185,0.06399596875787351,0.7777777777777778,3131,North,Medium,25,Electronics,3958,0
140,2024-04-01,Desk,0.7997575267730854,0.5132275132275133,0.3888888888888889,4032,West,High,4,Furniture,1941,0
141,2024-06-22,Printer,0.6864012931905435,0.6059460821365583,0.2777777777777778,2608,South,Low,25,Electronics,1012,0
142,2024-06-03,Headphones,0.014750454637300466,0.5013857394809775,0.6111111111111112,4815,South,High,15,Electronics,0,1897
143,2024-03-19,Mouse,0.2746009294807032,0.11161501637692114,1.0,2313,South,Medium,26,Electronics,936,0
144,2024-11-08,Headphones,0.22044857546979188,0.02821869488536155,0.6111111111111112,1638,West,High,8,Electronics,999,0
145,2024-07-14,Laptop,0.9806021418468377,0.2653061224489796,0.6111111111111112,1084,North,High,24,Electronics,3820,0
146,2024-08-11,Laptop,0.39220044453424935,0.6477702191987906,0.4444444444444444,2277,East,High,14,Electronics,0,610
147,2024-10-21,Mouse,0.636088098605779,0.17334341143864954,0.5,3711,North,Low,21,Electronics,2480,0
148,2024-10-29,Mouse,0.8694685795110123,0.2494331065759637,0.8888888888888888,2847,West,High,7,Electronics,3333,0
149,2024-04-24,Desk,0.25136391190139423,0.47190728143109095,0.9444444444444444,1518,North,Critical,24,Furniture,0,609
150,2023-12-25,Mouse,0.2596484138209739,0.011337868480725623,0.8333333333333334,4523,South,High,24,Electronics,1260,0
151,2024-09-20,Tablet,0.9102849060416246,0.30083144368858655,0.16666666666666666,2330,East,High,7,Electronics,3331,0
152,2024-09-27,Headphones,0.6134572640937563,0.8065003779289494,0.9444444444444444,4719,West,Medium,28,Electronics,0,145
153,2024-05-13,Monitor,0.15558698727015557,0.19047619047619047,0.1111111111111111,1183,South,High,3,Electronics,34,0
154,2024-08-15,Keyboard,0.37239846433622953,0.3466868228772991,0.8333333333333334,1972,North,High,23,Electronics,487,0
155,2024-07-21,Mouse,0.014750454637300466,0.30889392794154696,0.7222222222222222,4385,South,Low,1,Electronics,0,1133
156,2024-03-27,Chair,0.335421297231764,0.3146888384983623,0.4444444444444444,3388,North,Critical,15,Furniture,431,0
157,2024-09-25,Laptop,0.8787633865427359,0.7939027462836986,0.2777777777777778,1226,North,Medium,2,Electronics,1218,0
158,2024-07-06,Tablet,0.16548797736916548,0.8518518518518519,0.16666666666666666,1836,West,Critical,8,Electronics,0,2542
159,2024-11-24,Printer,0.7714689836330572,0.782564877802973,0.05555555555555555,4827,North,High,25,Electronics,732,0
160,2024-06-29,Keyboard,0.06688219842392402,0.1418493323255228,0.5,3311,South,Low,3,Electronics,0,212
161,2024-05-04,Monitor,0.2871287128712871,0.5563114134542706,0.5555555555555556,3497,West,Critical,1,Electronics,0,767
162,2024-02-23,Keyboard,0.7385330369771671,0.9239103048626858,0.3333333333333333,2274,East,Critical,18,Electronics,8,0
163,2024-01-28,Mouse,0.996362901596282,0.727387251196775,0.2222222222222222,4479,West,Critical,22,Electronics,2064,0
164,2024-04-01,Desk,0.34168518892705596,0.8833459309649786,0.16666666666666666,1169,South,Critical,24,Furniture,0,1795
165,2024-06-10,Laptop,0.9193776520509194,0.6512975560594608,0.2777777777777778,1565,North,Critical,14,Electronics,1985,0
166,2024-06-13,Laptop,0.8906849868660336,0.5724363819601915,0.05555555555555555,2935,West,Low,6,Electronics,2156,0
167,2024-05-28,Printer,0.04586785209133158,0.8861174099269338,0.05555555555555555,3179,West,High,7,Electronics,0,3270
168,2024-11-18,Desk,0.5821378056172964,0.3376165280927186,0.8333333333333334,1826,West,Low,2,Furniture,1561,0
169,2024-10-10,Headphones,0.578904829258436,0.9415469891660367,0.6666666666666666,1605,South,Low,22,Electronics,0,852
170,2024-07-21,Smartphone,0.5203071327540917,0.9765684051398337,0.3333333333333333,4117,North,Low,14,Electronics,0,1281
171,2024-02-21,Tablet,0.9137199434229137,0.36205593348450493,0.2222222222222222,1349,East,Low,0,Electronics,3105,0
172,2023-12-21,Laptop,0.0937563144069509,0.023683547493071302,0.8888888888888888,1098,East,High,15,Electronics,390,0
173,2024-11-20,Chair,0.055970903212770255,0.8304358780549257,0.6666666666666666,2769,North,High,27,Furniture,0,2999
174,2024-11-03,Laptop,0.8312790462719741,0.454018644494835,0.7777777777777778,2804,East,Low,21,Electronics,2332,0
175,2024-04-01,Keyboard,0.013133966457870277,0.23885109599395313,0.1111111111111111,2060,North,Critical,2,Electronics,0,863
176,2024-03-06,Laptop,0.8611840775914326,0.13907785336356765,0.16666666666666666,4509,West,High,1,Electronics,3730,0
177,2023-12-28,Laptop,0.08122853101636694,0.6782564877802973,0.7777777777777778,4056,West,High,29,Electronics,0,2270
178,2024-10-12,Smartphone,0.8048090523338048,0.0163769211388259,0.9444444444444444,1074,South,Low,14,Electronics,3938,0
179,2024-06-05,Smartphone,0.9100828450191958,0.873771730914588,0.1111111111111111,3105,West,Critical,3,Electronics,1056,0
180,2024-05-17,Monitor,0.7027682360072742,0.8266565885613505,0.3333333333333333,4090,South,Critical,26,Electronics,217,0
181,2024-09-05,Headphones,0.695898161244696,0.37717309145880573,0.3888888888888889,1401,East,Low,13,Electronics,1967,0
182,2024-08-12,Chair,0.9480703172358053,0.1672965482489292,0.5555555555555556,1187,East,Low,8,Furniture,4048,0
183,2024-06-12,Laptop,0.8929076581127501,0.6880826404635928,0.4444444444444444,4984,West,High,21,Electronics,1708,0
184,2024-11-12,Laptop,0.6140634471610427,0.745023935500126,0.6111111111111112,1138,North,High,27,Electronics,102,0
185,2024-03-30,Tablet,0.2903616892301475,0.7266313932980599,0.2222222222222222,1142,East,Medium,8,Electronics,0,1427
186,2023-12-16,Smartphone,0.08648211759951506,0.6596119929453262,0.0,1107,East,Medium,13,Electronics,0,2170
187,2024-02-05,Chair,0.5419276621539705,0.691106072058453,0.7222222222222222,1220,East,Low,14,Furniture,0,41
188,2024-10-21,Printer,0.561123459284704,0.8972033257747544,0.1111111111111111,1144,North,Medium,23,Electronics,0,764
189,2024-04-22,Monitor,0.6825621337643969,0.04509952128999748,0.7777777777777778,3905,West,Critical,4,Electronics,3219,0
190,2024-05-16,Headphones,0.07920792079207921,0.7258755353993449,0.5,1509,South,Critical,23,Electronics,0,2469
191,2024-01-18,Desk,0.9175591028490604,0.9843789367598892,0.5,3423,North,Critical,1,Furniture,654,0
192,2024-03-27,Headphones,0.06890280864821176,0.9057697152935248,0.1111111111111111,1004,North,High,23,Electronics,0,3234
193,2024-05-17,Keyboard,0.0266720549605981,0.37339380196523053,0.2777777777777778,1387,East,Medium,16,Electronics,0,1330
194,2024-11-27,Laptop,0.0533441099211962,0.7908793146888385,0.2222222222222222,3615,South,Medium,10,Electronics,0,2855
195,2024-08-07,Monitor,0.8462315619317033,0.8566389518770471,1.0,4838,North,Low,12,Electronics,808,0
196,2024-01-19,Keyboard,0.3404728227924833,0.050642479213907785,0.7222222222222222,4031,East,High,11,Electronics,1504,0
197,2024-12-07,Chair,0.28975550616286117,0.37742504409171074,0.8888888888888888,2757,North,High,2,Furniture,0,44
198,2024-03-08,Desk,0.335421297231764,0.3882590073066264,0.6111111111111112,2895,East,High,22,Furniture,139,0
199,2024-06-04,Smartphone,0.7712669226106285,0.7775258251448728,0.4444444444444444,1559,South,Critical,19,Electronics,751,0
200,2024-07-01,Monitor,0.4756516467973328,0.7843285462333082,0.1111111111111111,2839,South,High,12,Electronics,0,739
201,2024-08-28,Monitor,0.053546170943624974,0.6525573192239859,0.9444444444444444,4234,East,Medium,14,Electronics,0,2305
202,2024-02-25,Laptop,0.9579713073348151,0.763164525069287,0.16666666666666666,2771,West,Low,10,Electronics,1732,0
203,2024-11-23,Mouse,0.22954132147908668,0.9483497102544721,0.7222222222222222,2783,North,Medium,15,Electronics,0,2608
204,2024-03-21,Monitor,0.9191755910284906,0.7107583774250441,0.2777777777777778,1364,West,High,6,Electronics,1748,0
205,2024-09-08,Tablet,0.9953525964841382,0.3305618543713782,0.7777777777777778,1416,North,Low,0,Electronics,3634,0
206,2024-11-17,Desk,0.28086482117599515,0.490803728898967,0.8888888888888888,4580,South,Critical,22,Furniture,0,538
207,2024-01-16,Desk,0.22469185694079613,0.90803728898967,0.2222222222222222,2635,North,Low,29,Furniture,0,2472
208,2024-11-26,Tablet,0.45140432410588,0.99848828420257,0.2777777777777778,3068,East,High,18,Electronics,0,1709
209,2023-12-31,Printer,0.5791068902808648,0.1746031746031746,0.2222222222222222,3661,East,High,17,Electronics,2193,0
210,2024-06-14,Tablet,0.6199232168114771,0.4331065759637188,1.0,1516,East,Low,8,Electronics,1369,0
211,2024-05-22,Tablet,0.44029096787229743,0.31922398589065254,0.7222222222222222,2220,West,High,17,Electronics,932,0
212,2024-06-11,Desk,0.1281066882198424,0.9909297052154195,0.16666666666666666,1660,South,High,2,Furniture,0,3279
213,2024-07-27,Headphones,0.7336835724388765,0.9402872260015117,0.2222222222222222,4416,South,High,2,Electronics,0,81
214,2024-06-24,Desk,0.2826833703778541,0.4512471655328798,0.5555555555555556,1329,South,High,3,Furniture,0,372
215,2024-07-13,Mouse,0.9670640533441099,0.6699420508944318,0.05555555555555555,1377,East,Low,15,Electronics,2147,0
216,2024-03-13,Laptop,0.5534451404324106,0.9166036785084404,0.05555555555555555,4282,South,Low,10,Electronics,0,879
217,2024-04-10,Keyboard,0.640533441099212,0.43361048122952883,0.6111111111111112,1159,West,Medium,22,Electronics,1469,0
218,2024-11-19,Headphones,0.37684380682966256,0.983371126228269,0.8333333333333334,1657,West,Critical,22,Electronics,0,2018
219,2024-11-23,Smartphone,0.39502929884825216,0.40841521793902746,0.8888888888888888,4641,West,Critical,14,Electronics,354,0
220,2024-01-24,Keyboard,0.9450394018993736,0.30158730158730157,0.16666666666666666,3401,East,Medium,8,Electronics,3500,0
221,2024-09-11,Laptop,0.4481713477470196,0.3922902494331066,0.7222222222222222,2263,North,Low,25,Electronics,681,0
222,2024-06-19,Mouse,0.2806627601535664,0.3859914336104812,0.3333333333333333,1078,South,Medium,7,Electronics,0,123
223,2024-07-23,Mouse,0.9858557284299858,0.5772234819853868,0.7777777777777778,3199,West,High,21,Electronics,2608,0
224,2024-10-05,Smartphone,0.632451000202061,0.5308641975308642,0.8333333333333334,3564,North,High,5,Electronics,1043,0
225,2024-01-14,Headphones,0.8640129319054355,0.025951121189216428,0.3888888888888889,3430,North,Critical,20,Electronics,4193,0
226,2024-03-28,Printer,0.8312790462719741,0.6797682035777274,0.05555555555555555,1692,West,Low,17,Electronics,1436,0
227,2024-01-04,Tablet,0.25237421701353807,0.8500881834215167,1.0,3037,West,Critical,5,Electronics,0,2105
228,2024-02-25,Headphones,0.6397251970094968,0.42680776014109345,0.0,3399,South,Medium,5,Electronics,1492,0
229,2024-06-02,Printer,0.251565972923823,0.254472159234064,0.16666666666666666,2224,South,Critical,11,Electronics,255,0
230,2024-03-08,Mouse,0.010709234188724995,0.4452003023431595,0.5555555555555556,1950,North,Critical,4,Electronics,0,1694
231,2024-05-04,Desk,0.5879975752677309,0.5351473922902494,0.5,3180,North,High,13,Furniture,806,0
