OrderID,OrderDate,Product,Revenue,Cost,Quantity,CustomerID,Region,OrderPriority,Discount,Category,Profit
50,2024-04-20,Keyboard,4650,2653,9,3660,East,Medium,1,Electronics,1997
51,2024-01-31,Tablet,4917,2139,2,2887,South,Medium,24,Electronics,2778
52,2024-03-24,Laptop,1314,3952,3,2978,West,Medium,25,Electronics,-2638
53,2024-10-06,Desk,3774,398,6,1631,East,High,2,Furniture,3376
54,2024-02-24,Smartphone,2837,1421,13,1320,North,Low,19,Electronics,1416
55,2024-09-03,Keyboard,2772,3675,15,2470,South,Critical,16,Electronics,-903
56,2024-05-28,Desk,4273,123,11,2400,West,High,0,Furniture,4150
57,2024-05-31,Smartphone,2600,3570,10,1202,North,Critical,25,Electronics,-970
58,2024-01-15,Monitor,2999,3061,3,4161,North,High,24,Electronics,-62
59,2024-03-07,Monitor,1723,3954,9,4778,North,Critical,10,Electronics,-2231
60,2024-02-17,Printer,4637,3127,10,3224,South,Critical,15,Electronics,1510
61,2024-03-18,Desk,3142,1488,12,1626,North,Medium,19,Furniture,1654
62,2023-12-19,Monitor,2888,3222,8,2868,East,Critical,9,Electronics,-334
63,2024-06-20,Smartphone,1716,2127,17,3079,East,Critical,19,Electronics,-411
64,2024-02-03,Printer,4561,2960,5,4951,South,Medium,5,Electronics,1601
65,2024-12-12,Smartphone,2245,793,8,3993,South,High,1,Electronics,1452
66,2024-10-06,Printer,1434,2113,18,1726,North,High,21,Electronics,-679
67,2024-06-15,Desk,4453,1463,11,1953,South,Low,28,Furniture,2990
68,2024-05-13,Keyboard,4004,3390,10,3867,East,Low,6,Electronics,614
69,2024-01-16,Headphones,2949,3480,15,3838,East,Low,16,Electronics,-531
70,2024-02-25,Mouse,110,2177,6,3290,East,Low,7,Electronics,-2067
71,2024-05-03,Keyboard,3997,3425,19,2821,South,Critical,12,Electronics,572
72,2024-09-20,Chair,2340,358,17,1069,East,Critical,21,Furniture,1982
73,2024-01-12,Smartphone,522,3749,10,4062,South,Low,24,Electronics,-3227
74,2024-12-09,Chair,1008,735,5,2094,West,Medium,28,Furniture,273
75,2024-05-07,Keyboard,582,250,16,2646,North,Low,3,Electronics,332
76,2024-05-30,Printer,543,1844,12,1157,West,High,10,Electronics,-1301
77,2024-05-03,Mouse,131,1891,5,1548,East,Critical,1,Electronics,-1760
78,2024-04-06,Mouse,3020,2644,1,2839,North,Medium,24,Electronics,376
79,2024-04-09,Laptop,61,1025,2,2951,East,High,7,Electronics,-964
80,2024-01-11,Mouse,4594,1051,5,3373,East,Medium,17,Electronics,3543
81,2024-02-02,Headphones,811,139,19,2058,West,Medium,7,Electronics,672
82,2024-04-26,Mouse,3235,178,15,4551,East,Low,10,Electronics,3057
83,2024-03-10,Keyboard,75,2483,1,3507,North,High,23,Electronics,-2408
84,2024-06-24,Laptop,1856,3878,11,4907,East,Low,4,Electronics,-2022
85,2024-07-27,Keyboard,4207,3775,18,3463,North,High,6,Electronics,432
86,2024-10-10,Keyboard,4374,728,3,3618,West,Critical,22,Electronics,3646
87,2024-06-03,Tablet,4752,3094,9,1885,South,High,3,Electronics,1658
88,2024-02-28,Laptop,3709,1463,4,4490,East,Critical,21,Electronics,2246
89,2024-06-10,Keyboard,1575,3230,13,1510,West,Critical,9,Electronics,-1655
90,2024-06-23,Tablet,810,3585,9,1367,East,Low,5,Electronics,-2775
91,2024-10-08,Tablet,644,137,3,3959,North,Critical,12,Electronics,507
92,2024-11-26,Laptop,1105,418,16,2910,East,Low,15,Electronics,687
93,2024-11-20,Chair,1904,454,8,1882,South,Medium,21,Furniture,1450
94,2024-11-03,Printer,3133,2524,7,3254,East,Medium,24,Electronics,609
95,2024-10-08,Headphones,3966,2995,17,4432,South,Medium,1,Electronics,971
96,2024-04-23,Printer,3725,1121,16,4507,South,High,25,Electronics,2604
97,2024-03-01,Mouse,2098,3167,18,3625,East,Critical,23,Electronics,-1069
98,2024-07-01,Headphones,1508,2733,16,2797,West,Low,14,Electronics,-1225
99,2024-06-22,Mouse,1269,2029,15,2293,East,Medium,7,Electronics,-760
100,2024-07-07,Keyboard,4278,3666,2,4304,South,Low,16,Electronics,612
101,2024-09-01,Smartphone,4231,1693,4,1668,West,Medium,26,Electronics,2538
102,2024-03-31,Laptop,1549,3605,5,3153,South,Critical,28,Electronics,-2056
103,2024-02-09,Headphones,1880,1557,7,1665,South,Medium,13,Electronics,323
104,2024-07-05,Headphones,3445,2056,15,4089,East,Low,29,Electronics,1389
105,2024-11-28,Keyboard,1253,2398,17,4566,North,Medium,17,Electronics,-1145
106,2024-11-13,Chair,4320,2796,10,1259,East,Low,28,Furniture,1524
107,2024-01-29,Tablet,2860,1885,9,2508,North,Medium,13,Electronics,975
108,2024-02-11,Keyboard,3142,2805,16,1312,North,Low,3,Electronics,337
109,2024-10-23,Monitor,3094,2657,3,3678,East,Medium,20,Electronics,437
110,2024-04-19,Tablet,4723,476,9,2844,North,Critical,20,Electronics,4247
111,2024-03-07,Laptop,3564,1627,8,4173,South,Medium,21,Electronics,1937
112,2024-05-28,Tablet,1848,239,7,3584,West,High,22,Electronics,1609
113,2024-10-23,Chair,2625,878,17,4251,East,Low,0,Furniture,1747
114,2024-11-22,Tablet,194,1892,5,2533,North,Medium,22,Electronics,-1698
115,2024-05-09,Laptop,4907,2447,7,2500,South,High,5,Electronics,2460
116,2024-08-29,Chair,3976,1994,13,1673,West,Low,4,Furniture,1982
117,2024-11-19,Printer,1427,1617,18,2423,North,Medium,14,Electronics,-190
118,2024-09-05,Headphones,3196,1681,14,3020,North,Medium,29,Electronics,1515
119,2024-03-02,Headphones,1875,1946,18,3397,South,Critical,15,Electronics,-71
120,2024-03-02,Mouse,843,3559,3,3262,West,Medium,21,Electronics,-2716
121,2024-10-17,Printer,1651,1948,17,2406,West,Low,26,Electronics,-297
122,2024-06-18,Printer,4464,606,19,2147,South,High,7,Electronics,3858
123,2024-09-22,Tablet,1160,1695,7,4363,West,Medium,28,Electronics,-535
124,2024-06-11,Headphones,4103,718,4,2691,East,High,27,Electronics,3385
125,2024-09-25,Laptop,4843,819,15,2728,West,Low,5,Electronics,4024
126,2024-05-08,Desk,3987,1021,8,1327,North,Low,4,Furniture,2966
127,2024-05-27,Desk,4013,2240,16,2588,West,Medium,5,Furniture,1773
128,2024-10-08,Chair,4992,1006,1,4753,East,Critical,24,Furniture,3986
129,2024-02-21,Headphones,832,1385,16,3894,East,Medium,27,Electronics,-553
130,2024-09-27,Headphones,1166,1717,2,1097,North,Critical,0,Electronics,-551
131,2024-07-16,Desk,1800,379,2,1658,North,Medium,13,Furniture,1421
132,2024-06-08,Headphones,2626,1801,8,3347,East,High,18,Electronics,825
133,2024-11-16,Tablet,4077,2747,12,3077,South,Critical,18,Electronics,1330
134,2024-02-21,Monitor,3386,3569,11,2097,East,Critical,24,Electronics,-183
135,2024-01-11,Smartphone,4437,455,6,3219,West,High,14,Electronics,3982
136,2024-06-13,Printer,1537,356,19,2017,North,Medium,18,Electronics,1181
137,2024-10-02,Mouse,3925,1159,18,4956,South,Low,5,Electronics,2766
138,2024-10-15,Chair,3681,3919,5,1922,East,Low,24,Furniture,-238
139,2024-11-14,Monitor,4242,284,15,3131,North,Medium,25,Electronics,3958
140,2024-04-01,Desk,4008,2067,8,4032,West,High,4,Furniture,1941
141,2024-06-22,Printer,3447,2435,6,2608,South,Low,25,Electronics,1012
142,2024-06-03,Headphones,123,2020,12,4815,South,High,15,Electronics,-1897
143,2024-03-19,Mouse,1409,473,19,2313,South,Medium,26,Electronics,936
144,2024-11-08,Headphones,1141,142,12,1638,West,High,8,Electronics,999
145,2024-07-14,Laptop,4903,1083,12,1084,North,High,24,Electronics,3820
146,2024-08-11,Laptop,1991,2601,9,2277,East,High,14,Electronics,-610
147,2024-10-21,Mouse,3198,718,10,3711,North,Low,21,Electronics,2480
148,2024-10-29,Mouse,4353,1020,17,2847,West,High,7,Electronics,3333
149,2024-04-24,Desk,1294,1903,18,1518,North,Critical,24,Furniture,-609
150,2023-12-25,Mouse,1335,75,16,4523,South,High,24,Electronics,1260
151,2024-09-20,Tablet,4555,1224,4,2330,East,High,7,Electronics,3331
152,2024-09-27,Headphones,3086,3231,18,4719,West,Medium,28,Electronics,-145
153,2024-05-13,Monitor,820,786,3,1183,South,High,3,Electronics,34
154,2024-08-15,Keyboard,1893,1406,16,1972,North,High,23,Electronics,487
155,2024-07-21,Mouse,123,1256,14,4385,South,Low,1,Electronics,-1133
156,2024-03-27,Chair,1710,1279,9,3388,North,Critical,15,Furniture,431
157,2024-09-25,Laptop,4399,3181,6,1226,North,Medium,2,Electronics,1218
158,2024-07-06,Tablet,869,3411,4,1836,West,Critical,8,Electronics,-2542
159,2024-11-24,Printer,3868,3136,2,4827,North,High,25,Electronics,732
160,2024-06-29,Keyboard,381,593,10,3311,South,Low,3,Electronics,-212
161,2024-05-04,Monitor,1471,2238,11,3497,West,Critical,1,Electronics,-767
162,2024-02-23,Keyboard,3705,3697,7,2274,East,Critical,18,Electronics,8
163,2024-01-28,Mouse,4981,2917,5,4479,West,Critical,22,Electronics,2064
164,2024-04-01,Desk,1741,3536,4,1169,South,Critical,24,Furniture,-1795
165,2024-06-10,Laptop,4600,2615,6,1565,North,Critical,14,Electronics,1985
166,2024-06-13,Laptop,4458,2302,2,2935,West,Low,6,Electronics,2156
167,2024-05-28,Printer,277,3547,2,3179,West,High,7,Electronics,-3270
168,2024-11-18,Desk,2931,1370,16,1826,West,Low,2,Furniture,1561
169,2024-10-10,Headphones,2915,3767,13,1605,South,Low,22,Electronics,-852
170,2024-07-21,Smartphone,2625,3906,7,4117,North,Low,14,Electronics,-1281
171,2024-02-21,Tablet,4572,1467,5,1349,East,Low,0,Electronics,3105
172,2023-12-21,Laptop,514,124,17,1098,East,High,15,Electronics,390
173,2024-11-20,Chair,327,3326,13,2769,North,High,27,Furniture,-2999
174,2024-11-03,Laptop,4164,1832,15,2804,East,Low,21,Electronics,2332
175,2024-04-01,Keyboard,115,978,3,2060,North,Critical,2,Electronics,-863
176,2024-03-06,Laptop,4312,582,4,4509,West,High,1,Electronics,3730
177,2023-12-28,Laptop,452,2722,15,4056,West,High,29,Electronics,-2270
178,2024-10-12,Smartphone,4033,95,18,1074,South,Low,14,Electronics,3938
179,2024-06-05,Smartphone,4554,3498,3,3105,West,Critical,3,Electronics,1056
180,2024-05-17,Monitor,3528,3311,7,4090,South,Critical,26,Electronics,217
181,2024-09-05,Headphones,3494,1527,8,1401,East,Low,13,Electronics,1967
182,2024-08-12,Chair,4742,694,11,1187,East,Low,8,Furniture,4048
183,2024-06-12,Laptop,4469,2761,9,4984,West,High,21,Electronics,1708
184,2024-11-12,Laptop,3089,2987,12,1138,North,High,27,Electronics,102
185,2024-03-30,Tablet,1487,2914,5,1142,East,Medium,8,Electronics,-1427
186,2023-12-16,Smartphone,478,2648,1,1107,East,Medium,13,Electronics,-2170
187,2024-02-05,Chair,2732,2773,14,1220,East,Low,14,Furniture,-41
188,2024-10-21,Printer,2827,3591,3,1144,North,Medium,23,Electronics,-764
189,2024-04-22,Monitor,3428,209,15,3905,West,Critical,4,Electronics,3219
190,2024-05-16,Headphones,442,2911,10,1509,South,Critical,23,Electronics,-2469
191,2024-01-18,Desk,4591,3937,10,3423,North,Critical,1,Furniture,654
192,2024-03-27,Headphones,391,3625,3,1004,North,High,23,Electronics,-3234
193,2024-05-17,Keyboard,182,1512,6,1387,East,Medium,16,Electronics,-1330
194,2024-11-27,Laptop,314,3169,5,3615,South,Medium,10,Electronics,-2855
195,2024-08-07,Monitor,4238,3430,19,4838,North,Low,12,Electronics,808
196,2024-01-19,Keyboard,1735,231,14,4031,East,High,11,Electronics,1504
197,2024-12-07,Chair,1484,1528,17,2757,North,High,2,Furniture,-44
198,2024-03-08,Desk,1710,1571,12,2895,East,High,22,Furniture,139
199,2024-06-04,Smartphone,3867,3116,9,1559,South,Critical,19,Electronics,751
200,2024-07-01,Monitor,2404,3143,3,2839,South,High,12,Electronics,-739
201,2024-08-28,Monitor,315,2620,18,4234,East,Medium,14,Electronics,-2305
202,2024-02-25,Laptop,4791,3059,4,2771,West,Low,10,Electronics,1732
203,2024-11-23,Mouse,1186,3794,14,2783,North,Medium,15,Electronics,-2608
204,2024-03-21,Monitor,4599,2851,6,1364,West,High,6,Electronics,1748
205,2024-09-08,Tablet,4976,1342,15,1416,North,Low,0,Electronics,3634
206,2024-11-17,Desk,1440,1978,17,4580,South,Critical,22,Furniture,-538
207,2024-01-16,Desk,1162,3634,5,2635,North,Low,29,Furniture,-2472
208,2024-11-26,Tablet,2284,3993,6,3068,East,High,18,Electronics,-1709
209,2023-12-31,Printer,2916,723,5,3661,East,High,17,Electronics,2193
210,2024-06-14,Tablet,3118,1749,19,1516,East,Low,8,Electronics,1369
211,2024-05-22,Tablet,2229,1297,14,2220,West,High,17,Electronics,932
212,2024-06-11,Desk,684,3963,4,1660,South,High,2,Furniture,-3279
213,2024-07-27,Headphones,3681,3762,5,4416,South,High,2,Electronics,-81
214,2024-06-24,Desk,1449,1821,11,1329,South,High,3,Furniture,-372
215,2024-07-13,Mouse,4836,2689,2,1377,East,Low,15,Electronics,2147
216,2024-03-13,Laptop,2789,3668,2,4282,South,Low,10,Electronics,-879
217,2024-04-10,Keyboard,3220,1751,12,1159,West,Medium,22,Electronics,1469
218,2024-11-19,Headphones,1915,3933,16,1657,West,Critical,22,Electronics,-2018
219,2024-11-23,Smartphone,2005,1651,17,4641,West,Critical,14,Electronics,354
220,2024-01-24,Keyboard,4727,1227,4,3401,East,Medium,8,Electronics,3500
221,2024-09-11,Laptop,2268,1587,14,2263,North,Low,25,Electronics,681
222,2024-06-19,Mouse,1439,1562,7,1078,South,Medium,7,Electronics,-123
223,2024-07-23,Mouse,4929,2321,15,3199,West,High,21,Electronics,2608
224,2024-10-05,Smartphone,3180,2137,16,3564,North,High,5,Electronics,1043
225,2024-01-14,Headphones,4326,133,8,3430,North,Critical,20,Electronics,4193
226,2024-03-28,Printer,4164,2728,2,1692,West,Low,17,Electronics,1436
227,2024-01-04,Tablet,1299,3404,19,3037,West,Critical,5,Electronics,-2105
228,2024-02-25,Headphones,3216,1724,1,3399,South,Medium,5,Electronics,1492
229,2024-06-02,Printer,1295,1040,4,2224,South,Critical,11,Electronics,255
230,2024-03-08,Mouse,103,1797,11,1950,North,Critical,4,Electronics,-1694
231,2024-05-04,Desk,2960,2154,10,3180,North,High,13,Furniture,806
232,2024-08-01,Laptop,2446,1071,18,2988,North,Critical,5,Electronics,1375
233,2024-03-09,Smartphone,492,1587,1,3681,East,Medium,20,Electronics,-1095
234,2024-12-04,Laptop,4725,1237,17,3216,North,Low,26,Electronics,3488
235,2024-07-04,Chair,3661,1710,16,1865,East,Critical,29,Furniture,1951
236,2024-12-11,Chair,4427,3651,12,1390,South,Low,27,Furniture,776
237,2024-09-14,Headphones,2457,3382,16,2881,North,Medium,19,Electronics,-925
238,2024-07-29,Mouse,872,3389,9,2408,South,Critical,18,Electronics,-2517
239,2024-02-11,Mouse,3752,1708,17,1819,North,Low,13,Electronics,2044
240,2024-04-26,Tablet,2989,3626,3,3145,South,High,0,Electronics,-637
241,2024-06-13,Tablet,4786,2775,18,4865,North,High,26,Electronics,2011
242,2024-06-02,Tablet,1081,3575,15,4448,East,Medium,19,Electronics,-2494
243,2024-06-28,Desk,2066,3023,15,4039,West,Critical,28,Furniture,-957
244,2024-07-06,Keyboard,612,2344,16,3827,South,Medium,24,Electronics,-1732
245,2023-12-22,Monitor,2588,810,1,4909,South,Low,22,Electronics,1778
246,2024-09-06,Keyboard,390,2686,1,1339,West,Low,6,Electronics,-2296
247,2024-08-22,Laptop,4617,975,4,2554,North,Medium,6,Electronics,3642
248,2024-09-02,Keyboard,3825,3458,13,1131,East,Low,13,Electronics,367
249,2024-09-01,Desk,2346,3907,4,4679,East,Medium,19,Furniture,-1561
250,2024-08-20,Laptop,284,3102,8,3257,East,Medium,15,Electronics,-2818
251,2024-04-08,Keyboard,1166,1860,13,4076,North,High,11,Electronics,-694
252,2024-04-26,Desk,1958,3128,8,1376,South,Low,22,Furniture,-1170
253,2024-07-25,Monitor,1467,577,14,1639,North,Medium,10,Electronics,890
254,2024-10-31,Keyboard,4969,2237,1,4125,East,High,17,Electronics,2732
255,2024-08-18,Desk,1341,3014,9,2521,West,Medium,11,Furniture,-1673
256,2024-09-30,Tablet,3538,2476,1,4269,East,Low,23,Electronics,1062
257,2024-08-13,Mouse,4777,2620,7,1440,South,High,9,Electronics,2157
258,2023-12-21,Tablet,3704,2204,13,2741,North,Low,23,Electronics,1500
259,2024-03-15,Mouse,578,1827,15,2203,North,Critical,24,Electronics,-1249
260,2024-12-05,Smartphone,3374,1910,9,1240,East,Critical,4,Electronics,1464
261,2024-11-09,Smartphone,2030,3086,16,2809,South,Critical,25,Electronics,-1056
262,2024-03-16,Smartphone,2989,977,17,4391,South,Critical,23,Electronics,2012
263,2024-06-05,Monitor,1379,2287,9,3548,West,High,1,Electronics,-908
264,2024-05-02,Tablet,1283,2227,6,4721,East,Low,9,Electronics,-944
265,2024-12-12,Mouse,1803,60,12,1022,West,Medium,25,Electronics,1743
266,2024-07-04,Desk,2850,641,16,3679,North,Medium,23,Furniture,2209
267,2024-09-23,Laptop,2983,1894,15,4698,North,Medium,25,Electronics,1089
268,2024-04-30,Desk,2809,331,7,4064,South,Low,15,Furniture,2478
269,2024-04-30,Laptop,2825,3040,10,4665,West,High,24,Electronics,-215
270,2024-11-02,Chair,3537,2942,4,4779,South,Low,5,Furniture,595
271,2024-04-03,Desk,3900,3832,3,2203,East,Critical,5,Furniture,68
272,2024-09-17,Keyboard,2577,2842,18,2887,South,Medium,19,Electronics,-265
273,2024-07-22,Keyboard,940,712,1,1174,North,Low,28,Electronics,228
274,2024-01-25,Headphones,2115,286,13,1197,North,Critical,23,Electronics,1829
275,2024-10-29,Tablet,1238,969,18,4609,South,Critical,22,Electronics,269
276,2024-07-30,Laptop,4347,3158,8,4525,East,High,11,Electronics,1189
277,2024-05-02,Laptop,790,2086,11,1098,West,Medium,8,Electronics,-1296
278,2024-07-08,Tablet,1419,3106,10,1744,North,Low,16,Electronics,-1687
279,2024-09-15,Monitor,1439,2924,4,2450,North,Critical,9,Electronics,-1485
280,2023-12-22,Headphones,2050,3215,4,1452,East,Critical,7,Electronics,-1165
281,2024-07-03,Monitor,1521,806,4,4262,South,Medium,23,Electronics,715
282,2024-01-21,Monitor,1586,2762,12,4021,North,Low,8,Electronics,-1176
283,2024-07-15,Monitor,368,761,8,4649,North,Low,6,Electronics,-393
284,2024-01-12,Tablet,2314,1258,13,2781,East,Medium,24,Electronics,1056
285,2024-11-25,Monitor,1944,2101,8,1498,South,Critical,9,Electronics,-157
286,2024-08-07,Keyboard,3761,2570,3,4687,East,High,23,Electronics,1191
287,2024-02-01,Smartphone,4869,2072,12,4262,East,Medium,24,Electronics,2797
288,2023-12-16,Chair,2872,999,18,1140,South,Critical,24,Furniture,1873
289,2024-03-01,Laptop,4558,3783,15,2714,North,High,0,Electronics,775
290,2024-10-07,Laptop,1325,3507,14,3820,West,Medium,18,Electronics,-2182
291,2024-10-11,Chair,3133,132,9,3222,West,Medium,21,Furniture,3001
292,2024-02-22,Tablet,450,1113,5,3467,West,Critical,27,Electronics,-663
293,2024-10-01,Desk,773,1139,15,1675,East,Medium,10,Furniture,-366
294,2024-03-28,Tablet,2379,796,8,4505,North,Low,22,Electronics,1583
295,2024-09-26,Laptop,1185,3100,3,2463,North,Low,19,Electronics,-1915
296,2024-07-31,Laptop,2820,3778,12,4602,North,High,9,Electronics,-958
297,2024-03-27,Chair,4896,401,5,3579,North,Medium,1,Furniture,4495
298,2024-03-20,Monitor,317,708,9,1917,East,Low,13,Electronics,-391
299,2024-10-26,Tablet,619,2673,3,2822,West,Critical,11,Electronics,-2054
300,2024-06-05,Mouse,2606,2023,8,3408,West,Critical,3,Electronics,583
301,2024-01-10,Chair,2023,231,13,4822,South,Critical,21,Furniture,1792
302,2024-02-25,Keyboard,595,1655,8,3493,North,Low,12,Electronics,-1060
303,2024-05-20,Laptop,2872,118,5,3603,West,Medium,19,Electronics,2754
304,2024-05-02,Chair,4510,2514,7,1707,West,Medium,27,Furniture,1996
305,2024-09-28,Tablet,4692,2197,5,2730,North,Medium,9,Electronics,2495
306,2024-05-08,Laptop,320,2233,9,4428,North,High,1,Electronics,-1913
307,2023-12-20,Desk,788,2026,5,2880,West,Medium,24,Furniture,-1238
308,2024-07-27,Chair,1307,428,8,1560,South,Low,16,Furniture,879
309,2024-05-31,Headphones,108,1753,12,1996,North,Low,9,Electronics,-1645
310,2024-04-21,Laptop,4231,217,4,1058,West,Medium,22,Electronics,4014
311,2024-10-01,Tablet,4908,3875,9,4715,South,Critical,15,Electronics,1033
312,2024-04-28,Smartphone,439,1105,14,3932,East,High,8,Electronics,-666
313,2024-10-26,Mouse,768,681,19,2190,South,High,18,Electronics,87
314,2024-02-12,Printer,4294,1584,13,4718,North,Low,10,Electronics,2710
315,2024-11-06,Monitor,4728,1533,3,1966,East,High,5,Electronics,3195
316,2024-04-20,Printer,170,616,4,3992,South,Critical,24,Electronics,-446
317,2024-04-06,Tablet,2702,259,1,2624,West,Medium,24,Electronics,2443
318,2024-01-04,Keyboard,2353,3582,1,2806,North,High,3,Electronics,-1229
319,2024-06-25,Keyboard,4911,1183,11,1262,East,High,15,Electronics,3728
320,2024-05-28,Smartphone,2961,84,16,2454,West,Low,11,Electronics,2877
321,2024-11-20,Monitor,849,300,4,4699,East,Critical,23,Electronics,549
322,2024-01-23,Headphones,3430,1153,7,3243,South,Low,23,Electronics,2277
323,2024-06-19,Smartphone,2156,3170,12,1353,West,Low,26,Electronics,-1014
324,2024-03-28,Printer,1159,3400,6,3933,North,High,15,Electronics,-2241
325,2024-10-09,Smartphone,1300,999,9,1940,West,Low,22,Electronics,301
326,2024-01-18,Printer,2690,1582,8,4691,South,Low,21,Electronics,1108
327,2024-07-11,Laptop,1699,1407,14,4945,East,High,2,Electronics,292
328,2024-06-14,Keyboard,1395,3729,15,3962,West,High,11,Electronics,-2334
329,2024-09-20,Laptop,3006,1205,5,1046,East,High,14,Electronics,1801
330,2024-11-30,Mouse,2496,2407,15,1752,North,Medium,19,Electronics,89
331,2024-05-29,Monitor,3414,145,6,2332,West,Critical,29,Electronics,3269
332,2024-03-08,Headphones,534,3643,1,1229,East,Medium,11,Electronics,-3109
333,2024-07-31,Printer,852,352,9,4482,North,High,8,Electronics,500
334,2024-06-20,Headphones,1765,2640,4,2924,South,Critical,9,Electronics,-875
335,2024-11-13,Printer,1965,1625,2,1756,West,Low,22,Electronics,340
336,2024-06-16,Tablet,3533,2306,6,3363,West,Critical,26,Electronics,1227
337,2024-09-04,Smartphone,1807,3872,2,1761,West,High,7,Electronics,-2065
338,2024-10-29,Mouse,1859,389,3,2100,East,Medium,12,Electronics,1470
339,2024-11-23,Keyboard,3057,3106,7,3109,East,Critical,21,Electronics,-49
340,2024-04-14,Printer,3275,57,17,4642,North,Low,14,Electronics,3218
341,2024-12-01,Headphones,3545,3867,9,1237,West,Medium,27,Electronics,-322
342,2024-02-25,Mouse,2370,3465,9,4772,North,Medium,16,Electronics,-1095
343,2024-01-12,Desk,1720,3563,19,4639,West,Medium,26,Furniture,-1843
344,2024-09-10,Desk,4665,1284,5,1077,South,Medium,11,Furniture,3381
345,2024-07-12,Laptop,1201,1448,6,3781,West,Low,15,Electronics,-247
346,2023-12-29,Keyboard,4797,2946,18,3606,North,High,24,Electronics,1851
347,2024-03-15,Tablet,2273,1765,1,3991,East,Low,10,Electronics,508
348,2024-07-26,Headphones,2717,1897,17,3697,South,High,18,Electronics,820
349,2023-12-23,Smartphone,260,1324,14,4487,South,High,28,Electronics,-1064
